x,y,x_scaled,y_scaled
1385.520000,444.360000,1320.797838,60.802541
1385.520000,445.280000,1320.971161,61.825558
1387.360000,448.960000,1323.471504,65.525138
1387.360000,453.560000,1324.338118,70.640224
1386.440000,450.800000,1322.914624,67.767417
1387.360000,451.720000,1323.991473,68.594190
1387.360000,446.200000,1322.951535,62.456086
1387.360000,446.200000,1322.951535,62.456086
1387.360000,446.200000,1322.951535,62.456086
1386.440000,445.280000,1321.874686,61.629314
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1382.760000,448.960000,1318.953874,66.506362
1385.520000,453.560000,1322.531066,71.032714
1386.440000,451.720000,1323.087947,68.790435
1386.440000,451.720000,1323.087947,68.790435
1386.440000,448.040000,1322.394655,64.698365
1384.600000,446.200000,1320.240957,63.044821
1384.600000,445.280000,1320.067635,62.021803
1383.680000,444.360000,1318.990786,61.195031
1383.680000,444.360000,1318.990786,61.195031
1383.680000,449.880000,1320.030723,67.333134
1384.600000,448.960000,1320.760926,66.113872
1385.520000,451.720000,1322.184421,68.986679
1386.440000,448.960000,1322.567978,65.721383
1384.600000,446.200000,1320.240957,63.044821
1386.440000,441.600000,1321.181395,57.537244
1386.440000,444.360000,1321.701364,60.606296
1383.680000,444.360000,1318.990786,61.195031
1385.520000,448.960000,1321.664452,65.917628
1387.360000,449.880000,1323.644827,66.548155
1385.520000,453.560000,1322.531066,71.032714
1387.360000,450.800000,1323.818150,67.571172
1385.520000,448.040000,1321.491129,64.894610
1384.600000,443.440000,1319.720989,59.975769
1383.680000,447.120000,1319.510754,64.264083
1383.680000,445.280000,1319.164109,62.218048
1382.760000,446.200000,1318.433905,63.437310
1384.600000,448.960000,1320.760926,66.113872
1385.520000,450.800000,1322.011098,67.963662
1385.520000,449.880000,1321.837775,66.940645
